NYT19981018.0084::23 NYT19981018.0084::24 1.0
NYT19981018.0084::11 NYT19981018.0084::14 1.0
NYT19981018.0084::19 NYT19981018.0084::14 1.0
NYT19981018.0084::11 NYT19981018.0084::19 1.0
NYT19981018.0084::14 NYT19981018.0084::19 1.0
NYT19981024.0043::22 NYT19981018.0089::8 1.0
NYT19981024.0043::33 NYT19981018.0089::8 1.0
NYT19981018.0084::24 NYT19981018.0089::8 1.0
NYT19981018.0084::22 NYT19981018.0089::8 1.0
NYT19981018.0089::4 NYT19981018.0089::8 1.0
NYT19981024.0043::23 NYT19981018.0089::8 1.0
NYT19981024.0043::29 NYT19981018.0089::8 1.0
NYT19981007.0302::37 NYT19981018.0089::8 1.0
NYT19981024.0043::0 NYT19981018.0089::8 1.0
NYT19981018.0091::42 NYT19981018.0089::8 1.0
NYT19981007.0302::91 NYT19981018.0089::8 1.0
NYT19981007.0302::92 NYT19981018.0089::8 1.0
NYT19981007.0302::80 NYT19981018.0089::8 1.0
NYT19981007.0302::82 NYT19981018.0089::8 1.0
NYT19981024.0043::10 NYT19981018.0089::8 1.0
NYT19981007.0302::166 NYT19981018.0089::8 1.0
NYT19981024.0043::21 NYT19981018.0089::8 1.0
NYT19981024.0043::18 NYT19981018.0089::8 1.0
NYT19981024.0043::32 NYT19981018.0089::8 1.0
NYT19981007.0302::186 NYT19981018.0089::8 1.0
NYT19981024.0043::26 NYT19981018.0089::8 1.0
NYT19981024.0043::27 NYT19981018.0089::8 1.0
NYT19981018.0089::12 NYT19981018.0089::8 1.0
NYT19981007.0302::104 NYT19981018.0089::8 1.0
NYT19981024.0043::9 NYT19981018.0089::8 1.0
NYT19981024.0043::7 NYT19981018.0089::8 1.0
NYT19981024.0043::1 NYT19981018.0089::8 1.0
NYT19981007.0302::123 NYT19981018.0089::8 1.0
NYT19981018.0091::44 NYT19981018.0089::8 1.0
NYT19981009.0282::10 NYT19981009.0282::14 1.0
NYT19981009.0282::11 NYT19981009.0282::14 1.0
NYT19981009.0282::10 NYT19981009.0282::11 1.0
NYT19981009.0282::14 NYT19981009.0282::11 1.0
NYT19981024.0043::22 NYT19981007.0302::91 1.0
NYT19981024.0043::33 NYT19981007.0302::91 1.0
NYT19981018.0084::24 NYT19981007.0302::91 1.0
NYT19981018.0084::22 NYT19981007.0302::91 1.0
NYT19981018.0089::4 NYT19981007.0302::91 1.0
NYT19981024.0043::23 NYT19981007.0302::91 1.0
NYT19981024.0043::29 NYT19981007.0302::91 1.0
NYT19981007.0302::37 NYT19981007.0302::91 1.0
NYT19981024.0043::0 NYT19981007.0302::91 1.0
NYT19981018.0091::42 NYT19981007.0302::91 1.0
NYT19981018.0089::8 NYT19981007.0302::91 1.0
NYT19981007.0302::92 NYT19981007.0302::91 1.0
NYT19981007.0302::80 NYT19981007.0302::91 1.0
